ID	Gene	Protein	Category	Sub-category	Pathway/Activity	EC	KO	UniProt
AF-P18798-F1-model_v4	mmoY	Soluble methane monooxygenase hydroxylase component beta subunit	Trace gas oxidation	Methane oxidation (Methanotrophy)	Methane oxidation (Methanotrophy)	1.14.13.25	K16158	P18798
AF-P27355-F1-model_v4	mmoZ	Soluble methane monooxygenase hydroxylase component gamma subunit	Trace gas oxidation	Methane oxidation (Methanotrophy)	Methane oxidation (Methanotrophy)	1.14.13.25	K16159	P27355
AF-Q607G3-F1-model_v4	pmoA	Particulate methane monooxygenase hydroxylase component beta subunit	Trace gas oxidation	Methane oxidation (Methanotrophy)	Methane oxidation (Methanotrophy)	1.14.18.3	K10944	Q607G3
AF-G1UBD1-F1-model_v4	pmoB	Particulate methane monooxygenase hydroxylase component alpha subunit	Trace gas oxidation	Methane oxidation (Methanotrophy)	Methane oxidation (Methanotrophy)	1.14.18.3	K10945	G1UBD1
AF-P97047-F1-model_v4	pmoC	Particulate methane monooxygenase hydroxylase component gamma subunit	Trace gas oxidation	Methane oxidation (Methanotrophy)	Methane oxidation (Methanotrophy)	1.14.18.3	K10946	P97047
AF-Q2YB78-F1-model_v4	rbcL, cbbL	Ribulose bisphosphate carboxylase large chain 	Carbon cycling	Carbon fixation	Calvin–Benson–Bassham (CBB) cycle	4.1.1.39	K01601	Q2YB78
AF-P48070-F1-model_v4	rbcL, cbbL	Ribulose bisphosphate carboxylase large chain 	Carbon cycling	Carbon fixation	Calvin–Benson–Bassham (CBB) cycle	4.1.1.39	K01601	P48070
AF-P54206-F1-model_v4	rbcS, cbbS	Ribulose bisphosphate carboxylase small chain 	Carbon cycling	Carbon fixation	Calvin–Benson–Bassham (CBB) cycle	4.1.1.39	K01602	P54206
AF-P12033-F1-model_v4	prk	Phosphoribulokinase	Carbon cycling	Carbon fixation	Calvin–Benson–Bassham (CBB) cycle	2.7.1.19	K00855	P12033
AF-P19824-F1-model_v4	prk	Phosphoribulokinase	Carbon cycling	Carbon fixation	Calvin–Benson–Bassham (CBB) cycle	2.7.1.19	K00855	P19824
AF-Q9AJC4-F1-model_v4	aclA	ATP-citrate lyase alpha-subunit	Carbon cycling	Carbon fixation	Reductive citric acid (rTCA) cycle I	2.3.3.8	K15230	Q9AJC4
AF-Q9AQH6-F1-model_v4	aclB	ATP citrate synthase	Carbon cycling	Carbon fixation	Reductive citric acid (rTCA) cycle I	2.3.3.8	K15231	Q9AQH6
AF-Q75VW8-F1-model_v4	ccsA	ATP citrate synthase	Carbon cycling	Carbon fixation	Reductive citric acid (rTCA) cycle II	6.2.1.18	K15232	Q75VW8
AF-Q75VW6-F1-model_v4	ccsB	Citryl-CoA synthetase small subunit	Carbon cycling	Carbon fixation	Reductive citric acid (rTCA) cycle II	6.2.1.18	K15233	Q75VW6
AF-Q75VX1-F1-model_v4	ccl	Citrate synthase	Carbon cycling	Carbon fixation	Reductive citric acid (rTCA) cycle II	4.1.3.34	K15234	Q75VX1
AF-A9WC36-F1-model_v4	mct	2-methylfumaryl-CoA isomerase	Carbon cycling	Carbon fixation	3-hydroxypropionate (3HP) bi-cycle	5.4.1.3	K14470	A9WC36
AF-A9WC41-F1-model_v4	meh	Mesaconyl-C(4)-CoA hydratase	Carbon cycling	Carbon fixation	3-hydroxypropionate (3HP) bi-cycle	4.2.1.153	K09709	A9WC41
AF-P38945-F1-model_v4	4hbD	4-hydroxybutyrate dehydrogenase	Carbon cycling	Carbon fixation	4-hydroxybutyrate/3-hydroxypropionate (4HB/3HP) OR Dicarboxylate/4-hydroxybutyrate (DC/4HB) cycles	1.1.1.61	K18120	P38945
AF-Q9R4Z6-F1-model_v4	abfD	4-hydroxybutyryl-CoA dehydratase/vinylacetyl-CoA delta 3-delta 2-isomerase	Carbon cycling	Carbon fixation	4-hydroxybutyrate/3-hydroxypropionate (4HB/3HP) OR Dicarboxylate/4-hydroxybutyrate (DC/4HB) cycles	4.2.1.120	K14534	Q9R4Z6
AF-A4YDT1-F1-model_v4	hbs	4-hydroxybutyrate--CoA ligase 1	Carbon cycling	Carbon fixation	4-hydroxybutyrate/3-hydroxypropionate (4HB/3HP) OR Dicarboxylate/4-hydroxybutyrate (DC/4HB) cycles	6.2.1.40	K14466	A4YDT1
AF-Q46389-F1-model_v4	acsE	5-methyltetrahydrofolate:corrinoid/iron-sulfur protein co-methyltransferase	Carbon cycling	Carbon fixation	Reductive acetyl-CoA pathway (Wood–Ljungdahl pathway)	2.1.1.258	K15023	Q46389
AF-P27988-F1-model_v4	acsB	Carbon monoxide dehydrogenase/acetyl-CoA synthase subunit alpha	Carbon cycling	Carbon fixation	Reductive acetyl-CoA pathway (Wood–Ljungdahl pathway)	2.3.1.169	K14138	P27988
AF-P38539-F1-model_v4	mxaF	Methanol dehydrogenase large subunit	Carbon cycling	One-carbon (C1) metabolism	Methanol oxidation (Methanotrophy)	1.1.2.7	K14028	P38539
AF-Q09053-F1-model_v4	mxaI	Methanol dehydrogenase small subunit	Carbon cycling	One-carbon (C1) metabolism	Methanol oxidation (Methanotrophy)	1.1.2.7	K14029	Q09053
AF-P29898-F1-model_v4	mxaI	Methanol dehydrogenase small subunit	Carbon cycling	One-carbon (C1) metabolism	Methanol oxidation (Methanotrophy)	1.1.2.7	K14029	P29898
AF-P38540-F1-model_v4	mxaI	Methanol dehydrogenase small subunit	Carbon cycling	One-carbon (C1) metabolism	Methanol oxidation (Methanotrophy)	1.1.2.7	K14029	P38540
AF-Q9LBW4-F1-model_v4	rmpA	hexulose-6-phosphate synthase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation I (RuMP pathway)	4.1.2.43	K08093	Q9LBW4
AF-Q9S0X3-F1-model_v4	rmpB	6-phospho-3-hexuloisomerase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation I (RuMP pathway)	5.3.1.27	K08094	Q9S0X3
AF-P25437-F1-model_v4	frmA	S-(hydroxymethyl)glutathione dehydrogenase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation II (glutathione-dependent)	1.1.1.284	K00121	P25437
AF-P45382-F1-model_v4	flhA	NAD- and glutathione-dependent formaldehyde dehydrogenase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation II (glutathione-dependent)	1.1.1.284	K00121	P45382
AF-P51025-F1-model_v4	frmB	S-formylglutathione hydrolase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation II (glutathione-dependent)	3.1.2.12	K01070	P51025
AF-A1AXZ2-F1-model_v4	fghA	S-formylglutathione hydrolase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation II (glutathione-dependent)	3.1.2.12	K01070	A1AXZ2
AF-Q8NTI8-F1-model_v4	fadH	Mycothiol-dependent formaldehyde dehydrogenase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation III (mycothiol-dependent)	1.1.1.306	K00153	Q8NTI8
AF-O53533-F1-model_v4	mscR	Mycothiol-dependent formaldehyde dehydrogenase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation III (mycothiol-dependent)	1.1.1.306	K00153	O53533
AF-P46154-F1-model_v4	fdhA	Formaldehyde dehydrogenase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation IV (thiol-independent)	1.2.1.46	K00148	P46154
AF-C0SPA5-F1-model_v4	adhA	S-(hydroxymethyl)bacillithiol dehydrogenase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation V (bacillithiol-dependent)	1.1.1.306	K00153	C0SPA5
AF-O85012-F1-model_v4	mtdB	methylene tetrahydromethanopterin dehydrogenase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation VI (H4MPT pathway)	1.5.1.-	K10714	O85012
AF-O85014-F1-model_v4	mch	methylene tetrahydromethanopterin dehydrogenase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation VI (H4MPT pathway)	3.5.4.27	K01499	O85014
AF-I3EAB7-F1-model_v4	folD	methylenetetrahydrofolate dehydrogenase	Carbon cycling	One-carbon (C1) metabolism	Formaldehyde oxidation VII (THF pathway)	1.5.1.5	K01491	I3EAB7
AF-Q72EJ1-F1-model_v4	fdnG	formate dehydrogenase alpha subunit	Carbon cycling	One-carbon (C1) metabolism	Formate oxidation to CO2	1.17.1.9	K00123	Q72EJ1
AF-Q72EJ0-F1-model_v4	fdnH	formate dehydrogenase beta subunit	Carbon cycling	One-carbon (C1) metabolism	Formate oxidation to CO2	1.17.1.9	K08349	Q72EJ0
AF-Q728X1-F1-model_v4	fdnH	formate dehydrogenase beta subunit	Carbon cycling	One-carbon (C1) metabolism	Formate oxidation to CO2	1.17.1.9	K08349	Q728X1
AF-Q8KTI7-F1-model_v4	fdh1A	NAD-dependent formate dehydrogenase alpha subunit	Carbon cycling	One-carbon (C1) metabolism	Formate oxidation to CO2	1.17.1.9	-	Q8KTI7
AF-Q8KTI8-F1-model_v4	fdh1B	NAD-dependent formate dehydrogenase beta subunit	Carbon cycling	One-carbon (C1) metabolism	Formate oxidation to CO2	1.17.1.9	-	Q8KTI8
AF-O08375-F1-model_v4	fdh	NAD-dependent formate dehydrogenase	Carbon cycling	One-carbon (C1) metabolism	Formate oxidation to CO2	1.17.1.9	K00122	O08375
AF-Q58256-F1-model_v4	mcrA	methyl-coenzyme M reductase alpha subunit	Carbon cycling	One-carbon (C1) metabolism	Methane production (Methanogenesis)	2.8.4.1	K00399	Q58256
AF-Q58252-F1-model_v4	mcrB	methyl-coenzyme M reductase beta subunit	Carbon cycling	One-carbon (C1) metabolism	Methane production (Methanogenesis)	2.8.4.1	K00401	Q58252
AF-P07964-F1-model_v4	mcrG	methyl-coenzyme M reductase gamma subunit	Carbon cycling	One-carbon (C1) metabolism	Methane production (Methanogenesis)	2.8.4.1	K00402	P07964
AF-P00692-F1-model_v4	amyA	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	K01176	P00692
AF-P23671-F1-model_v4	amyA	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	K01176	P23671
AF-P30269-F1-model_v4	amyA	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	K01176	P30269
AF-P41131-F1-model_v4	amyA	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	K01176	P41131
AF-P14898-F1-model_v4	amyA	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	K01176	P14898
AF-P14899-F1-model_v4	amyA	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	K01176	P14899
AF-P00691-F1-model_v4	amyA	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	K01176	P00691
AF-A0P8X0-F1-model_v4	igtZ	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	-	A0P8X0
AF-P25718-F1-model_v4	malS	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	K01176	P25718
AF-O42918-F1-model_v4	meu	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	-	O42918
AF-Q8A1G3-F1-model_v4	susG	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	-	Q8A1G3
AF-P29750-F1-model_v4	tam	Alpha-amylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.1	-	P29750
AF-Q9F234-F1-model_v4	aglA	Alpha-glucosidase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.20	-	Q9F234
AF-O33830-F1-model_v4	aglA	Alpha-glucosidase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.20	-	O33830
AF-Q9Z3R8-F1-model_v4	aglA	Alpha-glucosidase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.20	-	Q9Z3R8
AF-D0KQM8-F1-model_v4	malA	Alpha-glucosidase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.20	-	D0KQM8
AF-Q9AI65-F1-model_v4	palH	Alpha-glucosidase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.20	-	Q9AI65
AF-O86959-F1-model_v4	aglB	Cyclomaltodextrinase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.54	K01208	O86959
AF-G8JZS4-F1-model_v4	susB	Glucan 1,4-alpha-glucosidase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.3	K21574	G8JZS4
AF-P10342-F1-model_v4	iam	Isoamylase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.68	K01214	P10342
AF-Q5B1W7-F1-model_v4	aasA	Lytic polysaccharide monooxygenase AasA	Carbon cycling	Complex carbohydrate degradation	Starch degradation	1.14.99.55	K00516	Q5B1W7
AF-Q5B027-F1-model_v4	aasB	Lytic polysaccharide monooxygenase AasB	Carbon cycling	Complex carbohydrate degradation	Starch degradation	1.14.99.55	K00516	Q5B027
AF-Q8A1G0-F1-model_v4	susA	Neopullulanase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.135	K21575	Q8A1G0
AF-C0SPA0-F1-model_v4	amyX	Pullulanase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.41	K01200	C0SPA0
AF-P07206-F1-model_v4	pulA	Pullulanase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.41	K01200	P07206
AF-O33840-F1-model_v4	pulA	Pullulanase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.41	K01200	O33840
AF-A0A0H2UNG0-F1-model_v4	spuA	Pullulanase	Carbon cycling	Complex carbohydrate degradation	Starch degradation	3.2.1.41	K01200	A0A0H2UNG0
AF-P26509-F1-model_v4	pehA	Endo-olygalacturonase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.15	K01184	P26509
AF-Q5AYH4-F1-model_v4	pga	Endopolygalacturonase D	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.15	K01184	Q5AYH4
AF-I1BYN5-F1-model_v4	rpg	Exopolygalacturonase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.67	-	I1BYN5
AF-I1BPS7-F1-model_v4	rpg	Exopolygalacturonase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.67	-	I1BPS7
AF-Q27UB2-F1-model_v4	pgxA	Exopolygalacturonase A	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.67	-	Q27UB2
AF-Q27UB1-F1-model_v4	pgxB	Exopolygalacturonase B	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.67	-	Q27UB1
AF-Q0CXI3-F1-model_v4	pgxC	Exopolygalacturonase C	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.67	-	Q0CXI3
AF-A2R060-F1-model_v4	pgaX	Exopolygalacturonase X	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.67	-	A2R060
AF-P21258-F1-model_v4	ogl	Oligogalacturonate lyase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.6	K01730	P21258
AF-P22751-F1-model_v4	pelX	Pectate disaccharide-lyase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.9	K22994	P22751
AF-P14005-F1-model_v4	pelB	Pectate lyase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	K01728	P14005
AF-Q56806-F1-model_v4	pelP	Pectate lyase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	K01728	Q56806
AF-P0C1C3-F1-model_v4	pelC	Pectate lyase 3	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	K19551	P0C1C3
AF-Q2U8R6-F1-model_v4	plyA	Pectate lyase A	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	K22539	Q2U8R6
AF-Q0CBV0-F1-model_v4	plyB	Pectate lyase B	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	K22539	Q0CBV0
AF-Q65EF5-F1-model_v4	pelC	Pectate lyase C	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.10; 4.2.2.2	K19551	Q65EF5
AF-B8NQQ7-F1-model_v4	plyC	Pectate lyase C	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	K22539	B8NQQ7
AF-P18209-F1-model_v4	pelD	Pectate lyase D	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	K01728	P18209
AF-Q4WKV8-F1-model_v4	plyF	Pectate lyase F	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	K22539	Q4WKV8
AF-Q0CJ20-F1-model_v4	plyG	Pectate lyase G	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	K22539	Q0CJ20
AF-P0C1A6-F1-model_v4	pelL	Pectate lyase L	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	K01728	P0C1A6
AF-P16530-F1-model_v4	pelX	Pectate lyase X	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.2	-	P16530
AF-Q12639-F1-model_v4	pelA	Pectin lyase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.10	-	Q12639
AF-P27027-F1-model_v4	pelB	Pectin lyase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.10	-	P27027
AF-Q5B3J8-F1-model_v4	pelF	Pectin lyase F	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.10	-	Q5B3J8
AF-A2QK82-F1-model_v4	pme	Pectinesterase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.1.1.11	K01051	A2QK82
AF-P47180-F1-model_v4	pga	Polygalacturonase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.15	K01184	P47180
AF-Q07181-F1-model_v4	pga	Polygalacturonase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.15	K01184	Q07181
AF-P20041-F1-model_v4	pglA	Polygalacturonase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.15	K01184	P20041
AF-P27644-F1-model_v4	pglA	Polygalacturonase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.15	K01184	P27644
AF-O31527-F1-model_v4	yesX	Rhamnogalacturonan exolyase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.24	K18198	O31527
AF-Q00001-F1-model_v4	rhgA	Rhamnogalacturonase A	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.171	K18580	Q00001
AF-Q5ARE6-F1-model_v4	rhgA	Rhamnogalacturonase A	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.171	K18580	Q5ARE6
AF-B0Y0Q3-F1-model_v4	rhgB	Rhamnogalacturonase B	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.171	K18580	B0Y0Q3
AF-Q4WV23-F1-model_v4	rhgB	Rhamnogalacturonase B	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.171	K18580	Q4WV23
AF-Q0CFC7-F1-model_v4	rhgB	Rhamnogalacturonase B	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.171	K18580	Q0CFC7
AF-P87161-F1-model_v4	rhgB	Rhamnogalacturonase B	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	3.2.1.171	K18580	P87161
AF-Q8RJP2-F1-model_v4	rhiE	Rhamnogalacturonate lyase	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.23	-	Q8RJP2
AF-B0YEH9-F1-model_v4	rglA	Rhamnogalacturonate lyase A	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.23	-	B0YEH9
AF-Q2UDJ8-F1-model_v4	rglB	Rhamnogalacturonate lyase B	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.23	-	Q2UDJ8
AF-Q5B5P1-F1-model_v4	rglC	Rhamnogalacturonate lyase C	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.23	-	Q5B5P1
AF-Q2U5P7-F1-model_v4	rgtB	Rhamnogalacturonate lyase C	Carbon cycling	Complex carbohydrate degradation	Pectin degradation	4.2.2.23	-	Q2U5P7
AF-Q8NK90-F1-model_v4	abfA	Alpha-L-arabinofuranosidase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	K01209	Q8NK90
AF-Q5BA89-F1-model_v4	abfA	Alpha-L-arabinofuranosidase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	K01209	Q5BA89
AF-P53627-F1-model_v4	abfA	Exo-alpha-(1->5)-L-arabinofuranosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	K01209	P53627
AF-A2R511-F1-model_v4	abfB	Alpha-L-arabinofuranosidase B	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	-	A2R511
AF-U6BLZ9-F1-model_v4	abfB	Alpha-L-arabinofuranosidase B	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	-	U6BLZ9
AF-Q82P90-F1-model_v4	abfB	Exo-alpha-(1->5)-L-arabinofuranosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	-	Q82P90
AF-Q841V6-F1-model_v4	abfB	Exo-alpha-(1->5)-L-arabinofuranosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	-	Q841V6
AF-O54161-F1-model_v4	abfB	Exo-alpha-L-arabinofuranosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	-	O54161
AF-P96463-F1-model_v4	abfB	Exo-alpha-L-arabinofuranosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	-	P96463
AF-P94552-F1-model_v4	abfC	Exo-alpha-L-arabinofuranosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	-	P94552
AF-T2FKR1-F1-model_v4	aes1	Acetylesterase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.1.1.6	-	T2FKR1
AF-A7J2C6-F1-model_v4	aes1	Acetylesterase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.1.1.6	-	A7J2C6
AF-O42814-F1-model_v4	aguA	Alpha-glucuronidase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.139	K01235	O42814
AF-Q09LY5-F1-model_v4	aguA	Xylan alpha-(1->2)-glucuronosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.131	K01235	Q09LY5
AF-P95470-F1-model_v4	arbA	Exo-alpha-(1->5)-L-arabinofuranosidase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.2.1.55	-	P95470
AF-D5EV35-F1-model_v4	axe	Acetylxylan esterase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.1.1.72	K05972	D5EV35
AF-Q09LX1-F1-model_v4	axe	Acetylxylan esterase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.1.1.72	K05972	Q09LX1
AF-Q99034-F1-model_v4	axe	Acetylxylan esterase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.1.1.72	K05972	Q99034
AF-B3PIB0-F1-model_v4	axe	Acetylxylan esterase	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.1.1.72	K05972	B3PIB0
AF-O59893-F1-model_v4	axe	Acetylxylan esterase 2	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.1.1.72	K05972	O59893
AF-Q5B037-F1-model_v4	axe	Acetylxylan esterase A	Carbon cycling	Complex carbohydrate degradation	Hemicellulose degradation	3.1.1.72	K05972	Q5B037
